id,date,name,status,type
407ca9d7-c62b-407e-9048-ad6b88a51bc8,2022-01-01,Día de Año Nuevo,Popular,Internacional
9769447a-9349-4102-ba37-93c8815704c1,2022-01-01,Día del Dominio Público,No Oficial,Internacional
b4fc53b5-9521-4ed2-baa9-e79331d910f7,2022-01-01,Día Internacional del Hijo,No Oficial,Internacional
2306a913-749e-4816-8d0d-4df0828c7da0,2022-01-02,Día Internacional del Policía,No Oficial,Internacional
544f99d3-f903-4de7-abb4-0bd3ab01de0d,2022-01-03,Día de las Cerezas cubiertas de chocolate,Alternativo,Alternativo
8538b115-1b67-49ac-8239-190472b5ad9b,2022-01-04,Día Mundial del Braille,Oficial,Internacional
dcdfda0f-202c-48d4-82c7-4313c85a9f69,2022-01-04,Día Mundial de la Hipnosis,No Oficial,Internacional
2cc1279b-bd19-4641-af38-e4bae611b442,2022-01-05,Día de la Crema Batida o Nata Montada,Alternativo,Alternativo
555e3fe3-6faa-4c9c-8ac2-619cf7b2d5a7,2022-01-06,Día de Reyes,Popular,Internacional
de369519-634b-459a-875a-a83c3ef5a23b,2022-01-06,Día Mundial de la Astrología,Alternativo,Alternativo
ceca3010-83f5-4b95-9504-aa8806adb755,2022-01-07,Día del Sello Postal,No Oficial,Internacional
39d4882b-750f-4eeb-84b2-d518dc447c71,2022-01-09,Día del Ascenso en Globo,No Oficial,Internacional
8a42f85a-8c41-45dd-acf2-bf60d378265c,2022-01-10,Día Mundial de la Gente Peculiar,Popular,Alternativo
0552a719-e644-4484-baf7-1bda95028d89,2022-01-11,Día Internacional del Agradecimiento,No Oficial,Internacional
dbfe03bd-206d-429a-aba1-603a4beb517e,2022-01-12,Día Internacional de Besar a un Pelirrojo,Alternativo,Alternativo
714d7925-2696-47b5-8649-540b84d8760f,2022-01-13,Día Mundial de Lucha contra la Depresión,No Oficial,Internacional
0a215794-fcea-4511-9bdc-83e267c093e3,2022-01-13,Día Mundial del Chicle,Alternativo,Alternativo
85015555-d7ca-47ec-b3ff-fed9ee41fdd6,2022-01-14,Día Mundial de la Lógica,Oficial,Internacional
